time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-05-19T10:08:36.310Z,42.503,131.872,513.4,5.7,mwb,547,23.9,,0.72,us,usp000g783,2022-05-02T21:00:02.117Z,"52 km SSE of Popova, Russia",earthquake,,,,,reviewed,us,us
2008-05-31T12:59:31.610Z,33.696,125.188,10,3.8,mb,9,147.2,,1.38,us,usp000g876,2014-11-07T01:36:08.424Z,"108 km WNW of Gaigeturi, South Korea",earthquake,,,,3,reviewed,us,us
2008-09-03T14:32:06.830Z,33.435,131.029,4.8,4.1,mb,13,128.4,,1.07,us,usp000ggay,2014-11-07T01:37:07.357Z,"15 km NNE of Hita, Japan",earthquake,,18.9,,2,reviewed,us,us
2008-09-18T22:23:32.290Z,33.817,132.211,59.3,4.1,mb,30,104.5,,0.84,us,usp000ghar,2014-11-07T01:37:13.316Z,"18 km SSE of Yanai, Japan",earthquake,,6.8,,9,reviewed,us,us
2008-10-22T16:18:36.440Z,41.985,131.321,558.7,5,mwr,234,47.4,,0.8,us,usp000gktj,2014-11-07T01:37:31.450Z,"74 km SSE of Zarubino, Russia",earthquake,,3.7,,,reviewed,us,nied
2008-10-29T22:59:25.980Z,33.573,131.783,84.2,3.8,mb,8,118.1,,,us,usp000gmch,2014-11-07T01:37:34.178Z,"22 km NE of Kitsuki, Japan",earthquake,,,,1,reviewed,jma,us
2008-12-17T15:53:25.070Z,42.475,132.134,520.4,4,mb,9,88.1,,0.53,us,usp000gqt1,2014-11-07T01:37:58.915Z,"47 km SSW of Dunay, Russia",earthquake,,9,,1,reviewed,us,us
2008-12-19T03:44:17.620Z,33.617,131.5,133.4,4.2,mb,36,107.5,,0.7,us,usp000gqwy,2014-11-07T01:37:59.703Z,"8 km NE of Bungo-Takada-shi, Japan",earthquake,,4.9,,9,reviewed,us,us
2009-01-24T17:33:38.640Z,33.524,131.686,81.7,4.7,mwr,106,104.4,,0.76,us,usp000gt25,2015-03-24T02:06:31.134Z,"13 km NNE of Kitsuki, Japan",earthquake,,,,,reviewed,us,nied
2009-04-06T05:09:34.140Z,42.934,131.669,522,4.5,mb,67,47.3,,0.79,us,usp000gvu3,2014-11-07T01:38:44.563Z,"5 km WSW of Popova, Russia",earthquake,,7.3,,43,reviewed,us,us
