발생시각,규모,위도,경도
2010/03/01 0:00,2.2,38.41,125.62
2010/02/22 0:00,3,33.29,127.17
2010/02/21 0:00,2.3,36.75,127.1
2010/02/16 0:00,3.3,35.63,129.95
2010/02/09 0:00,3,37.45,126.8
2010/02/03 0:00,2.6,33.33,127.19
2010/02/01 0:00,2.4,33.34,127.18
2010/02/01 0:00,2.3,33.3,127.14
2010/01/23 0:00,2.1,36.59,128.17
2010/01/10 0:00,2.1,38.8,126.07
2010/01/05 0:00,2.6,36.97,126.52
2009/12/26 0:00,2.2,37.87,124.91
2009/12/15 0:00,2.4,36.76,127.1
2009/12/15 0:00,2.3,38.8,125.94
2009/12/11 0:00,2.8,33.69,125.64
2009/12/04 0:00,2.8,36.72,128.55
2009/11/27 0:00,2.4,37.69,129.58
2009/11/17 0:00,2.3,36.07,126.95
2009/11/14 0:00,2.5,34.81,127.93
2009/11/14 0:00,2.4,35.66,126.91
2009/11/05 0:00,2.7,38.42,124.87
2009/10/16 0:00,2.3,33.4,127.29
2009/10/04 0:00,2.5,39.38,126.05
2009/10/01 0:00,2.9,38.12,126.02
2009/08/25 0:00,2.4,37.68,124.68
2009/08/21 0:00,3.8,38.82,125.79
2009/08/17 0:00,2.4,36.54,129.6
2009/08/15 0:00,2.6,36.52,129.61
2009/07/30 0:00,2.6,35.85,126.29
2009/07/17 0:00,2.5,38.45,126.15
2009/07/15 0:00,3,35.14,125.1
2009/07/01 0:00,2.6,37.84,124.94
2009/06/29 0:00,2.7,37.14,126
2009/06/28 0:00,3,35.78,128.29
2009/06/25 0:00,2.2,39.43,126.11
2009/06/20 0:00,2.2,38.03,126.62
2009/06/20 0:00,2.9,37.09,124.74
2009/06/06 0:00,2.4,35.09,125.06
2009/06/06 0:00,2.8,38.63,127.44
2009/06/03 0:00,2.9,38.57,126.5
2009/06/03 0:00,2.4,33.19,126.33
2009/05/31 0:00,2.3,38.6,126.43
2009/05/31 0:00,2.5,33.52,125.85
2009/05/26 0:00,2.2,36.57,129.22
2009/05/25 0:00,2.4,36.95,129.33
2009/05/15 0:00,2.4,36.59,126.41
2009/05/14 0:00,2.2,36.25,127.13
2009/05/02 0:00,2.9,36.57,128.71
2009/05/02 0:00,4,36.56,128.71
2009/04/29 0:00,2.9,33.43,127.36
2009/04/21 0:00,2,35.45,128.21
2009/04/18 0:00,2.5,33.39,127.07
2009/04/14 0:00,2.5,38.45,125.65
2009/04/02 0:00,3,37.6,125.95
2009/03/30 0:00,2.3,36.21,128.08
2009/03/26 0:00,2.9,38.11,127.13
2009/03/26 0:00,2.3,33.38,127.14
